"brewery","just_a_bar","brewery_id","loc_num","street","city","zipcode","phone_number","latitude","longitude","serves_food","beer_types","happy_hour","capacity","wine","liquor","price","reservations","dogs","public_transport","outdoor","gluten_free","hour_m","hour_tu","hour_wed","hour_th","hour_fr","hour_sat","hour_sun","website","instagram","address"
"Fort Point Beer Company",0,1,1,"1 The Embarcadero #54","San Francisco",94105,"(415) 818-3993",37.7958774,-122.3938747,1,"IPA, Double IPA, Rye Pale Ale, Red Ale, Barrel-aged Ale, Wheat Beer, Kolsch, Pilsner, Porter, Saison",NA,NA,NA,NA,"$$",NA,NA,NA,NA,NA,"11:00-20:00","11:00-20:00","11:00-20:00","11:00-20:00","11:00-20:00","10:00-20:00","11:00-18:00","http://www.fortpointbeer.com/","@fortpointbeer","1 The Embarcadero , San Francisco 94105"
"Rogue Ales Public House",0,2,1,"673 Union St","San Francisco",94133,"(415) 362-7880",37.8000725,-122.4105724,1,"IPA, Double IPA, West Coast IPA, Amber Ale, Barrel-aged Ale, Brown Ale, Pale Ale, Stout, Imperial Stout, Imperial Pilsner, Barleywine, Kolsch, Porter",NA,NA,NA,NA,"$$",0,NA,NA,NA,NA,"12:00-24:00","12:00-24:00","12:00-24:00","12:00-24:00","12:00-26:00","12:00-26:00","9:30-23:00","http://www.rogue.com/roguemeetinghalls/","@rogueales","673 Union St, San Francisco 94133"
"Almanac Taproom",0,3,1,"2704 24th St","San Francisco",94110,"(415) 932-6531",37.753106,-122.4067338,1,"IPA, Double IPA, Red Ale, Pale Ale, Porter, Stout, Wild Ale, Berliner Weissbier, Steam Beer, Barleywine, Pilsner, Gose, Saison",NA,NA,NA,NA,"$$",0,NA,NA,1,NA,"-1","-1","15:00-19:00","15:00-19:00","15:00-19:00","10:00-19:00","10:00-19:00","https://www.almanacbeer.com/taproom/","@almanacbeer","2704 24th St, San Francisco 94110"
"Cellarmaker",0,4,1,"1150 Howard St","San Francisco",94103,"(415) 863-3940",37.7772316,-122.4107987,1,"IPA, Pale Ale, Blonde Ale, Brown Ale, Smoked Porter, Baltic Porter, Barrel-Aged Stout, Imperial Stout, American Bitter",NA,NA,NA,NA,"$$",NA,NA,NA,0,NA,"-1","15:00-23:00","15:00-23:00","15:00-23:00","12:00-23:00","12:00-23:00","13:00-20:00","https://www.cellarmakerbrewing.com/","@cellarmakerbrewing","1150 Howard St, San Francisco 94103"
"Fieldwork",0,5,5,"1160 Sixth Street","Berkeley",94710,"(510) 898-1203",37.8814976,-122.3023362,1,"IPA, Double IPA, Rye IPA, West Coast IPA, Pale Ale, Belgain Golden Ale, Brown Ale, Blonde Ale, Cream Ale, Sour Ale, Scotch Ale, Red Ale, Dry Hopped Lager, Imperial Stout, American Stout, Barrel Aged Stout, Porter, Saison, Light Lager, Gose, Hoppy Pilsner, Brown",NA,NA,NA,NA,"$$",NA,NA,NA,0,NA,"11:00-22:00","11:00-22:00","11:00-22:00","11:00-22:00","11:00-23:00","11:00-23:00","11:00-22:00","https://fieldworkbrewing.com/","@fieldworkbrewingco","1160 Sixth Street, Berkeley 94710"
"ThirstyBear",0,6,1,"661 Howard St","San Francisco",94105,"(415) 974-0905",37.7854819,-122.3995991,1,"IPA, Pale Ale, Golden Ale, Wheat Beer, Porter, American Lager, American Sour, Altbier",NA,NA,NA,NA,"$$",1,NA,NA,0,NA,"11:30-22:00","11:30-22:00","11:30-22:00","11:30-22:00","11:30-23:00","11:30-23:00","12:00-22:00","http://thirstybear.com/","@thirstybearbrew","661 Howard St, San Francisco 94105"
"21st Amendment Brewery",0,7,1,"563 2nd St","San Francisco",94107,"(415) 369-0900",37.7825365,-122.3924606,1,"IPA, Double IPA, Black IPA, Session Ale, Stout, Wheat Beer",NA,NA,NA,NA,"$$",NA,NA,NA,1,NA,"11:30-24:00","11:30-24:00","11:30-24:00","11:30-24:00","11:30-24:00","11:30-24:00","10:00-24:00","http://21st-amendment.com/","@21stAmendment","563 2nd St, San Francisco 94107"
"Bartlett Hall",1,8,1,"242 O'Farrell St","San Francisco",94102,"(415) 433-4332",37.7864995,122.4109398,1,"Blonde Ale, Hefeweizen, Saison, Irish Stout, Brown Shugga",NA,NA,NA,NA,"$$",1,NA,NA,0,NA,"11:30-25:30","11:30-25:30","11:30-25:30","11:30-25:30","11:30-25:30","10:30-25:30","10:30-25:30","http://bartletthall.com/","@bartletthallsf","242 O'Farrell St, San Francisco 94102"
"The Beach Chalet",0,9,1,"1000 Great Hwy","San Francisco",94121,"(415) 386-8439",37.7694643,-122.5100964,1,"IPA, Blonde Ale, Wheat Beer, Pale Ale, Red Ale, Stout, Root Beer",NA,NA,NA,NA,"$$",1,NA,NA,NA,NA,"11:00-22:30","11:00-22:30","11:00-22:30","11:00-22:30","11:00-22:30","10:00-22:30","10:00-22:30","https://www.beachchalet.com/#coastal-seafood-brewery",NA,"1000 Great Hwy, San Francisco 94121"
"Black Sands",0,10,1,"701 Haight St","San Francisco",94117,"(415) 534-5194",37.771455,-122.433855,1,"IPA, Red IPA, Belgian Saison, Saison, Kolsch",NA,NA,NA,NA,"$$",0,NA,NA,NA,NA,"-1","08:00-24:00","08:00-24:00","08:00-24:00","08:00-25:00","08:00-25:00","08:00-24:00","http://www.blacksandsbeer.com/","@blacksandsbeer","701 Haight St, San Francisco 94117"
